indicatorCode,indicatorName
NY-GNP-PCAP-KD-ZG,GNI per capita growth (annual %)
NY-GNP-PCAP-PP-CD,"GNI per capita, PPP (current international $)"
EG-IMP-CONS-ZS,"Energy imports, net (% of energy use)"
GC-TAX-EXPT-CN,Taxes on exports (current LCU)
GC-TAX-EXPT-ZS,Taxes on exports (% of tax revenue)
GC-TAX-GSRV-CN,Taxes on goods and services (current LCU)
GC-TAX-GSRV-RV-ZS,Taxes on goods and services (% of revenue)
GC-TAX-GSRV-VA-ZS,Taxes on goods and services (% value added of industry and services)
GC-TAX-IMPT-ZS,Customs and other import duties (% of tax revenue)
GC-TAX-INTT-CN,Taxes on international trade (current LCU)
GC-TAX-INTT-RV-ZS,Taxes on international trade (% of revenue)
IC-EXP-COST-CD,Cost to export (US$ per container)
IC-EXP-DOCS,Documents to export (number)
IC-EXP-DURS,Time to export (days)
IC-IMP-COST-CD,Cost to import (US$ per container)
IC-IMP-DOCS,Documents to import (number)
IC-IMP-DURS,Time to import (days)
NE-EXP-GNFS-CD,Exports of goods and services (current US$)
NY-GDP-PCAP-KD,GDP per capita (constant 2005 US$)
NY-GDP-PCAP-KD-ZG,GDP per capita growth (annual %)
NE-EXP-GNFS-KD,Exports of goods and services (constant 2005 US$)
NE-EXP-GNFS-KD-ZG,Exports of goods and services (annual % growth)
NE-EXP-GNFS-ZS,Exports of goods and services (% of GDP)
NE-IMP-GNFS-CD,Imports of goods and services (current US$)
NE-IMP-GNFS-KD,Imports of goods and services (constant 2005 US$)
NE-IMP-GNFS-KD-ZG,Imports of goods and services (annual % growth)
NE-IMP-GNFS-ZS,Imports of goods and services (% of GDP)
NY-GDP-MKTP-CD,GDP (current US$)
NY-GNP-PCAP-PP-KD,"GNI per capita, PPP (constant 2011 international $)"
NY-GDP-MKTP-KD,GDP (constant 2005 US$)
NY-GDP-MKTP-KD-ZG,GDP growth (annual %)
NY-GDP-MKTP-PP-CD,"GDP, PPP (current international $)"
NY-GDP-MKTP-PP-KD,"GDP, PPP (constant 2011 international $)"
NY-GDP-PCAP-CD,GDP per capita (current US$)
NY-GDP-PCAP-PP-CD,"GDP per capita, PPP (current international $)"
NY-GDP-PCAP-PP-KD,"GDP per capita, PPP (constant 2011 international $)"
NY-GNP-MKTP-CD,GNI (current US$)
NY-GNP-MKTP-KD,GNI (constant 2005 US$)
TM-VAL-MRCH-XD-WD,Import value index (2000 = 100)
TX-VAL-MRCH-XD-WD,Export value index (2000 = 100)
ST-INT-RCPT-XP-ZS,"International tourism, receipts (% of total exports)"
ST-INT-XPND-MP-ZS,"International tourism, expenditures (% of total imports)"
TG-VAL-TOTL-GD-ZS,Merchandise trade (% of GDP)
TM-QTY-MRCH-XD-WD,Import volume index (2000 = 100)
TM-VAL-INSF-ZS-WT,Insurance and financial services (% of commercial service imports)
TM-VAL-OTHR-ZS-WT,"Computer, communications and other services (% of commercial service imports)"
TM-VAL-SERV-CD-WT,Commercial service imports (current US$)
TM-VAL-TRAN-ZS-WT,Transport services (% of commercial service imports)
TM-VAL-TRVL-ZS-WT,Travel services (% of commercial service imports)
TT-PRI-MRCH-XD-WD,Net barter terms of trade index (2000 = 100)
TX-QTY-MRCH-XD-WD,Export volume index (2000 = 100)
TX-VAL-INSF-ZS-WT,Insurance and financial services (% of commercial service exports)
TX-VAL-OTHR-ZS-WT,"Computer, communications and other services (% of commercial service exports)"
TX-VAL-SERV-CD-WT,Commercial service exports (current US$)
TX-VAL-TRAN-ZS-WT,Transport services (% of commercial service exports)
TX-VAL-TRVL-ZS-WT,Travel services (% of commercial service exports)
